id,from_id,date,text,post_id,owner_id,parents_stack,reply_to_user,reply_to_comment,likes.can_like,likes.count,likes.user_likes,likes.can_publish,attachments
3949751,13318943,1559016302,"[id11434884|Илья], особенно в снег и дождь завидуют",3949022,-15722194,[3949128],11434884,3949128,1,0,0,1,
3949834,11434884,1559019706,"[id13318943|Егор], а чтож вы еще -40С не вспомнили.

Но впринципе это ни чего не меняет

https://youtu.be/tK607imq8eo",3949022,-15722194,[3949128],13318943,3949751,1,0,0,1,"[{'type': 'link', 'link': {'url': 'https://youtu.be/tK607imq8eo', 'title': 'Воронеж. пробки 8б. а нам все равно', 'caption': 'youtu.be', 'description': '11-января-2019г.  вкрутюниваем на дпнге', 'is_favorite': False}}]"
3949857,13318943,1559020551,"[id11434884|Илья], транспорт прикольный, но сезонный, климат у нас не тот",3949022,-15722194,[3949128],11434884,3949834,1,0,0,1,
3949861,11434884,1559020741,"[id13318943|Егор], у вас это где?
В Воронеже езжу круглый год и не один такой. До этого на севере Иркутскойбласти делал тоже самое. В -42С  ощущения конечно меняются но все равно теплее и проще чем на тазике (не имея гаража на работе)  или того хуже ОТ стоять мерзнуть а потом с соплявыми и чихотачными якшаться",3949022,-15722194,[3949128],13318943,3949857,1,0,0,1,
3949917,13318943,1559023831,"[id11434884|Илья], Красноярск. Ну и девок не покатать",3949022,-15722194,[3949128],11434884,3949861,1,1,0,1,
3949124,11434884,1558981218,"[id469057545|Прохоров], олень ведровод снимавший.
Подальше держаться нать а не в след дышать.",3949022,-15722194,[3949107],469057545,3949107,1,2,0,1,
3949291,3905473,1558984441,"[id155407387|Александра], ничего миленького. У меня у самой электросамокат. Так на них ездить нельзя. Они вообще по ходу в ПДД упомянуты только в месте, требующем от пешеходов слезать с велосипедов и прочего, переходя дорогу. Кроме того, максимальная скорость большинства самокатов около 30 км/ч.",3949022,-15722194,[3949081],155407387,3949081,1,0,0,1,
3949306,155407387,1558984632,"[id3905473|Наталья], не буду с Вами спорить))) Я не покоряла дороги на этой штуковине , я с техникой по сложнее общалась)))",3949022,-15722194,[3949081],3905473,3949291,1,0,0,1,
3949750,13318943,1559016257,"[id155407387|Александра], не безопасненько",3949022,-15722194,[3949081],155407387,3949081,1,0,0,1,
3949126,11434884,1558981277,"[id26883082|Ренат], изыди",3949022,-15722194,[3949055],26883082,3949055,1,0,0,1,
4258234,29854844,1570131715,"[id387060687|Арам], есть электросамокаты с максимальной скоростью в 100 км/с, тоже пусть по тратуарам ездят?",4256950,-15722194,[4257694],387060687,4257694,1,0,0,1,
